,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,Date
3956,England,United Kingdom,2021-01-02 05:22:33,52.3555,-1.1743,2190702,64731.0,0.0,2125971.0,"England, United Kingdom",3913.5612356459415,2.9548062675799813,2021-01-01
3986,England,United Kingdom,2022-01-02 04:20:52,52.3555,-1.1743,11151423,129373.0,,,"England, United Kingdom",19921.366199095344,1.1601479022004637,2022-01-01
3956,England,United Kingdom,2021-01-03 05:22:52,52.3555,-1.1743,2239950,65080.0,0.0,2174870.0,"England, United Kingdom",4001.539912678733,2.905421996026697,2021-01-02
3986,England,United Kingdom,2022-01-03 02:22:25,52.3555,-1.1743,11272332,129432.0,,,"England, United Kingdom",20137.363069249623,1.1482273588109364,2022-01-02
3957,England,United Kingdom,2021-01-04 05:22:02,52.3555,-1.1743,2286803,65472.0,0.0,2221331.0,"England, United Kingdom",4085.240062025253,2.8630363000223458,2021-01-03
3986,England,United Kingdom,2022-01-04 04:22:17,52.3555,-1.1743,11408560,129474.0,,,"England, United Kingdom",20380.72643862144,1.1348846830800732,2022-01-03
3957,England,United Kingdom,2021-01-05 05:21:49,52.3555,-1.1743,2339983,65842.0,0.0,2274141.0,"England, United Kingdom",4180.243027518347,2.813781125760315,2021-01-04
3986,England,United Kingdom,2022-01-05 04:21:59,52.3555,-1.1743,11557285,129499.0,,,"England, United Kingdom",20646.41496895164,1.1204967256583185,2022-01-04
3957,England,United Kingdom,2021-01-06 05:22:16,52.3555,-1.1743,2394923,66626.0,0.0,2328297.0,"England, United Kingdom",4278.390130267323,2.781968355558822,2021-01-05
3986,England,United Kingdom,2022-01-06 04:22:09,52.3555,-1.1743,11706635,129815.0,,,"England, United Kingdom",20913.220025296014,1.1089010633713274,2022-01-05
3957,England,United Kingdom,2021-01-07 05:22:03,52.3555,-1.1743,2450983,67510.0,0.0,2383473.0,"England, United Kingdom",4378.53804763368,2.754405069313006,2021-01-06
3986,England,United Kingdom,2022-01-07 04:22:09,52.3555,-1.1743,11858941,130018.0,,,"England, United Kingdom",21185.305803076968,1.0963710840622278,2022-01-06
3957,England,United Kingdom,2021-01-08 05:22:42,52.3555,-1.1743,2497824,68514.0,0.0,2429310.0,"England, United Kingdom",4462.216759680728,2.742947461470464,2021-01-07
3986,England,United Kingdom,2022-01-08 04:21:53,52.3555,-1.1743,12008346,130211.0,,,"England, United Kingdom",21452.20911371058,1.0843375099285113,2022-01-07
3957,England,United Kingdom,2021-01-09 05:22:18,52.3555,-1.1743,2559581,69670.0,0.0,2489911.0,"England, United Kingdom",4572.542034971381,2.7219298783668107,2021-01-08
3986,England,United Kingdom,2022-01-09 04:21:46,52.3555,-1.1743,12132895,130493.0,,,"England, United Kingdom",21674.708631371344,1.0755306132625395,2022-01-08
3957,England,United Kingdom,2021-01-10 05:22:12,52.3555,-1.1743,2613838,70541.0,0.0,2543297.0,"England, United Kingdom",4669.46899809208,2.6987517971657,2021-01-09
